Section ID,Section Name,Section Type,Section Description,Parent Section ID,Control IDs
ASSET,"Asset, Change, and Configuration Management",p,,,
ASSET-1,Manage IT and OT Asset Inventory,c,,ASSET,"C2M2-ASSET-1a,C2M2-ASSET-1b,C2M2-ASSET-1c,C2M2-ASSET-1d,C2M2-ASSET-1e,C2M2-ASSET-1f,C2M2-ASSET-1g,C2M2-ASSET-1h"
ASSET-2,Manage Information Asset Inventory,c,,ASSET,"C2M2-ASSET-2a,C2M2-ASSET-2b,C2M2-ASSET-2c,C2M2-ASSET-2d,C2M2-ASSET-2e,C2M2-ASSET-2f,C2M2-ASSET-2g,C2M2-ASSET-2h"
ASSET-3,Manage IT and OT Asset Configuration,c,,ASSET,"C2M2-ASSET-3a,C2M2-ASSET-3b,C2M2-ASSET-3c,C2M2-ASSET-3d,C2M2-ASSET-3e"
ASSET-4,Manage Changes to IT and OT Assets,c,,ASSET,"C2M2-ASSET-4a,C2M2-ASSET-4b,C2M2-ASSET-4c,C2M2-ASSET-4d,C2M2-ASSET-4e,C2M2-ASSET-4f,C2M2-ASSET-4g,C2M2-ASSET-4h,C2M2-ASSET-4i"
ASSET-5,Management Activities for the ASSET domain,c,,ASSET,"C2M2-ASSET-5a,C2M2-ASSET-5b,C2M2-ASSET-5c,C2M2-ASSET-5d,C2M2-ASSET-5e,C2M2-ASSET-5f"
THREAT,Threat and Vulnerability Management,p,,,
THREAT-1,Reduce Cybersecurity Vulnerabilities,c,,THREAT,"C2M2-THREAT-1a,C2M2-THREAT-1b,C2M2-THREAT-1c,C2M2-THREAT-1d,C2M2-THREAT-1e,C2M2-THREAT-1f,C2M2-THREAT-1g,C2M2-THREAT-1h,C2M2-THREAT-1i,C2M2-THREAT-1j,C2M2-THREAT-1k,C2M2-THREAT-1l,C2M2-THREAT-1m"
THREAT-2,Respond to Threats and Share Threat Information,c,,THREAT,"C2M2-THREAT-2a,C2M2-THREAT-2b,C2M2-THREAT-2c,C2M2-THREAT-2d,C2M2-THREAT-2e,C2M2-THREAT-2f,C2M2-THREAT-2g,C2M2-THREAT-2h,C2M2-THREAT-2i,C2M2-THREAT-2j,C2M2-THREAT-2k"
THREAT-3,Management Activities for the THREAT domain,c,,THREAT,"C2M2-THREAT-3a,C2M2-THREAT-3b,C2M2-THREAT-3c,C2M2-THREAT-3d,C2M2-THREAT-3e,C2M2-THREAT-3f"
RISK,Risk Management,p,,,
RISK-1,Establish and Maintain Cyber Risk Management Strategy and Program,c,,RISK,"C2M2-RISK-1a,C2M2-RISK-1b,C2M2-RISK-1c,C2M2-RISK-1d,C2M2-RISK-1e,C2M2-RISK-1f,C2M2-RISK-1g,C2M2-RISK-1h"
RISK-2,Identify Cyber Risk,c,,RISK,"C2M2-RISK-2a,C2M2-RISK-2b,C2M2-RISK-2c,C2M2-RISK-2d,C2M2-RISK-2e,C2M2-RISK-2f,C2M2-RISK-2g,C2M2-RISK-2h,C2M2-RISK-2i,C2M2-RISK-2j,C2M2-RISK-2k,C2M2-RISK-2l,C2M2-RISK-2m"
RISK-3,Analyze Cyber Risk,c,,RISK,"C2M2-RISK-3a,C2M2-RISK-3b,C2M2-RISK-3c,C2M2-RISK-3d,C2M2-RISK-3e,C2M2-RISK-3f,C2M2-RISK-3g"
RISK-4,Respond to Cyber Risk,c,,RISK,"C2M2-RISK-4a,C2M2-RISK-4b,C2M2-RISK-4c,C2M2-RISK-4d,C2M2-RISK-4e"
RISK-5,Management Activities for the RISK domain,c,,RISK,"C2M2-RISK-5a,C2M2-RISK-5b,C2M2-RISK-5c,C2M2-RISK-5d,C2M2-RISK-5e,C2M2-RISK-5f"
ACCESS,Identity and Access Management,p,,,
ACCESS-1,Establish Identities and Manage Authentication,c,,ACCESS,"C2M2-ACCESS-1a,C2M2-ACCESS-1b,C2M2-ACCESS-1c,C2M2-ACCESS-1d,C2M2-ACCESS-1e,C2M2-ACCESS-1f,C2M2-ACCESS-1g,C2M2-ACCESS-1h,C2M2-ACCESS-1i,C2M2-ACCESS-1j"
ACCESS-2,Control Logical Access,c,,ACCESS,"C2M2-ACCESS-2a,C2M2-ACCESS-2b,C2M2-ACCESS-2c,C2M2-ACCESS-2d,C2M2-ACCESS-2e,C2M2-ACCESS-2f,C2M2-ACCESS-2g,C2M2-ACCESS-2h,C2M2-ACCESS-2i"
ACCESS-3,Control Physical Access,c,,ACCESS,"C2M2-ACCESS-3a,C2M2-ACCESS-3b,C2M2-ACCESS-3c,C2M2-ACCESS-3d,C2M2-ACCESS-3e,C2M2-ACCESS-3f,C2M2-ACCESS-3g,C2M2-ACCESS-3h,C2M2-ACCESS-3i,C2M2-ACCESS-3j"
ACCESS-4,Management Activities for the ACCESS domain,c,,ACCESS,"C2M2-ACCESS-4a,C2M2-ACCESS-4b,C2M2-ACCESS-4c,C2M2-ACCESS-4d,C2M2-ACCESS-4e,C2M2-ACCESS-4f"
SITUATION,Situational Awareness,p,,,
SITUATION-1,Perform Logging,c,,SITUATION,"C2M2-SITUATION-1a,C2M2-SITUATION-1b,C2M2-SITUATION-1c,C2M2-SITUATION-1d,C2M2-SITUATION-1e,C2M2-SITUATION-1f"
SITUATION-2,Perform Monitoring,c,,SITUATION,"C2M2-SITUATION-2a,C2M2-SITUATION-2b,C2M2-SITUATION-2c,C2M2-SITUATION-2d,C2M2-SITUATION-2e,C2M2-SITUATION-2f,C2M2-SITUATION-2g,C2M2-SITUATION-2h,C2M2-SITUATION-2i"
SITUATION-3,Establish and Maintain Situational Awareness,c,,SITUATION,"C2M2-SITUATION-3a,C2M2-SITUATION-3b,C2M2-SITUATION-3c,C2M2-SITUATION-3d,C2M2-SITUATION-3e,C2M2-SITUATION-3f,C2M2-SITUATION-3g"
SITUATION-4,Management Activities for the SITUATION domain,c,,SITUATION,"C2M2-SITUATION-4a,C2M2-SITUATION-4b,C2M2-SITUATION-4c,C2M2-SITUATION-4d,C2M2-SITUATION-4e,C2M2-SITUATION-4f"
RESPONSE,"Event and Incident Response, Continuity of Operations",p,,,
RESPONSE-1,Detect Cybersecurity Events,c,,RESPONSE,"C2M2-RESPONSE-1a,C2M2-RESPONSE-1b,C2M2-RESPONSE-1c,C2M2-RESPONSE-1d,C2M2-RESPONSE-1e,C2M2-RESPONSE-1f"
RESPONSE-2,Analyze Cybersecurity Events and Declare Incidents,c,,RESPONSE,"C2M2-RESPONSE-2a,C2M2-RESPONSE-2b,C2M2-RESPONSE-2c,C2M2-RESPONSE-2d,C2M2-RESPONSE-2e,C2M2-RESPONSE-2f,C2M2-RESPONSE-2g,C2M2-RESPONSE-2h,C2M2-RESPONSE-2i"
RESPONSE-3,Respond to Cybersecurity Incidents,c,,RESPONSE,"C2M2-RESPONSE-3a,C2M2-RESPONSE-3b,C2M2-RESPONSE-3c,C2M2-RESPONSE-3d,C2M2-RESPONSE-3e,C2M2-RESPONSE-3f,C2M2-RESPONSE-3g,C2M2-RESPONSE-3h,C2M2-RESPONSE-3i,C2M2-RESPONSE-3j,C2M2-RESPONSE-3k,C2M2-RESPONSE-3l"
RESPONSE-4,Address Cybersecurity in Continuity of Operations,c,,RESPONSE,"C2M2-RESPONSE-4a,C2M2-RESPONSE-4b,C2M2-RESPONSE-4c,C2M2-RESPONSE-4d,C2M2-RESPONSE-4e,C2M2-RESPONSE-4f,C2M2-RESPONSE-4g,C2M2-RESPONSE-4h,C2M2-RESPONSE-4i,C2M2-RESPONSE-4j,C2M2-RESPONSE-4k,C2M2-RESPONSE-4l,C2M2-RESPONSE-4m,C2M2-RESPONSE-4n,C2M2-RESPONSE-4o,C2M2-RESPONSE-4p"
RESPONSE-5,Management Activities for the RESPONSE domain,c,,RESPONSE,"C2M2-RESPONSE-5a,C2M2-RESPONSE-5b,C2M2-RESPONSE-5c,C2M2-RESPONSE-5d,C2M2-RESPONSE-5e,C2M2-RESPONSE-5f"
THIRD-PARTIES,Third-Party Risk Management,p,,,
THIRD-PARTIES-1,Identify and Prioritize Third Parties,c,,THIRD-PARTIES,"C2M2-THIRD-PARTIES-1a,C2M2-THIRD-PARTIES-1b,C2M2-THIRD-PARTIES-1c,C2M2-THIRD-PARTIES-1d,C2M2-THIRD-PARTIES-1e,C2M2-THIRD-PARTIES-1f"
THIRD-PARTIES-2,Manage Third-Party Risk,c,,THIRD-PARTIES,"C2M2-THIRD-PARTIES-2a,C2M2-THIRD-PARTIES-2b,C2M2-THIRD-PARTIES-2c,C2M2-THIRD-PARTIES-2d,C2M2-THIRD-PARTIES-2e,C2M2-THIRD-PARTIES-2f,C2M2-THIRD-PARTIES-2g,C2M2-THIRD-PARTIES-2h,C2M2-THIRD-PARTIES-2i,C2M2-THIRD-PARTIES-2j,C2M2-THIRD-PARTIES-2k,C2M2-THIRD-PARTIES-2l,C2M2-THIRD-PARTIES-2m"
THIRD-PARTIES-3,Management Activities for the THIRD-PARTIES domain,c,,THIRD-PARTIES,"C2M2-THIRD-PARTIES-3a,C2M2-THIRD-PARTIES-3b,C2M2-THIRD-PARTIES-3c,C2M2-THIRD-PARTIES-3d,C2M2-THIRD-PARTIES-3e,C2M2-THIRD-PARTIES-3f"
WORKFORCE,Workforce Management,p,,,
WORKFORCE-1,Implement Workforce Controls,c,,WORKFORCE,"C2M2-WORKFORCE-1a,C2M2-WORKFORCE-1b,C2M2-WORKFORCE-1c,C2M2-WORKFORCE-1d,C2M2-WORKFORCE-1e,C2M2-WORKFORCE-1f,C2M2-WORKFORCE-1g"
WORKFORCE-2,Increase Cybersecurity Awareness,c,,WORKFORCE,"C2M2-WORKFORCE-2a,C2M2-WORKFORCE-2b,C2M2-WORKFORCE-2c,C2M2-WORKFORCE-2d,C2M2-WORKFORCE-2e,C2M2-WORKFORCE-2f,C2M2-WORKFORCE-2g"
WORKFORCE-3,Assign Cybersecurity Responsibilities,c,,WORKFORCE,"C2M2-WORKFORCE-3a,C2M2-WORKFORCE-3b,C2M2-WORKFORCE-3c,C2M2-WORKFORCE-3d,C2M2-WORKFORCE-3e,C2M2-WORKFORCE-3f"
WORKFORCE-4,Develop Cybersecurity Workforce,c,,WORKFORCE,"C2M2-WORKFORCE-4a,C2M2-WORKFORCE-4b,C2M2-WORKFORCE-4c,C2M2-WORKFORCE-4d,C2M2-WORKFORCE-4e,C2M2-WORKFORCE-4f"
WORKFORCE-5,Management Activities for the WORKFORCE domain,c,,WORKFORCE,"C2M2-WORKFORCE-5a,C2M2-WORKFORCE-5b,C2M2-WORKFORCE-5c,C2M2-WORKFORCE-5d,C2M2-WORKFORCE-5e,C2M2-WORKFORCE-5f"
ARCHITECTURE,Cybersecurity Architecture,p,,,
ARCHITECTURE-1,Establish and Maintain Cybersecurity Architecture Strategy and Program,c,,ARCHITECTURE,"C2M2-ARCHITECTURE-1a,C2M2-ARCHITECTURE-1b,C2M2-ARCHITECTURE-1c,C2M2-ARCHITECTURE-1d,C2M2-ARCHITECTURE-1e,C2M2-ARCHITECTURE-1f,C2M2-ARCHITECTURE-1g,C2M2-ARCHITECTURE-1h,C2M2-ARCHITECTURE-1i,C2M2-ARCHITECTURE-1j,C2M2-ARCHITECTURE-1k"
ARCHITECTURE-2,Implement Network Protections as an Element of the Cybersecurity Architecture,c,,ARCHITECTURE,"C2M2-ARCHITECTURE-2a,C2M2-ARCHITECTURE-2b,C2M2-ARCHITECTURE-2c,C2M2-ARCHITECTURE-2d,C2M2-ARCHITECTURE-2e,C2M2-ARCHITECTURE-2f,C2M2-ARCHITECTURE-2g,C2M2-ARCHITECTURE-2h,C2M2-ARCHITECTURE-2i,C2M2-ARCHITECTURE-2j,C2M2-ARCHITECTURE-2k,C2M2-ARCHITECTURE-2l"
ARCHITECTURE-3,Implement IT and OT Asset Security as an Element of the Cybersecurity Architecture,c,,ARCHITECTURE,"C2M2-ARCHITECTURE-3a,C2M2-ARCHITECTURE-3b,C2M2-ARCHITECTURE-3c,C2M2-ARCHITECTURE-3d,C2M2-ARCHITECTURE-3e,C2M2-ARCHITECTURE-3f,C2M2-ARCHITECTURE-3g,C2M2-ARCHITECTURE-3h,C2M2-ARCHITECTURE-3i,C2M2-ARCHITECTURE-3j,C2M2-ARCHITECTURE-3k,C2M2-ARCHITECTURE-3l,C2M2-ARCHITECTURE-3m"
